File,Best,Worst,Mean,SD,Time
br17.atsp,39,39,39,0,0.79197
ft53.atsp,7211,8901,8121.76667,425.63777,0.21021
ft70.atsp,41172,43768,42743.4,657.80299,0.20733
ftv170.atsp,4229,5105,4649.1,243.57837,0.32947
ftv33.atsp,1286,1641,1435.76667,73.25557,0.21285
ftv35.atsp,1492,1747,1593.4,60.96972,0.20944
ftv38.atsp,1557,1856,1660.3,63.60616,0.21603
ftv44.atsp,1668,1987,1783.46667,69.07616,0.20657
ftv47.atsp,1838,2155,1979.13333,80.72576,0.18985
ftv55.atsp,1677,2222,1851.53333,111.44767,0.18686
ftv64.atsp,1918,2496,2235.7,145.54499,0.21703
ftv70.atsp,2257,2719,2447.06667,101.39524,0.21997
kro124p.atsp,43578,51715,47096.7,1953.75659,0.22004
p43.atsp,5620,5631,5623.03333,3.49746,0.3148
rbg323.atsp,1788,1926,1841.93333,33.12797,0.80091
rbg358.atsp,1761,1966,1858.63333,46.73006,0.81381
rbg403.atsp,2961,3085,3018.96667,31.29801,0.99113
rbg443.atsp,3332,3494,3417.33333,35.55122,1.10208
ry48p.atsp,14608,16300,15267.76667,413.66651,0.19612
