File,Best,Worst,Mean,SD,Time
br17.atsp,39,39,39.0,0.0,2.75781
ft53.atsp,7086,8085,7590.03333,248.34834,0.66012
ft70.atsp,40511,42800,41574.76667,518.91076,0.75864
ftv170.atsp,3750,4738,4071.4,217.36415,1.13942
ftv33.atsp,1286,1506,1392.4,55.41275,0.7341
ftv35.atsp,1473,1745,1563.13333,66.58365,0.72601
ftv38.atsp,1530,1705,1599.76667,40.88005,0.72189
ftv44.atsp,1657,1931,1753.03333,66.73054,0.71819
ftv47.atsp,1798,2055,1903.96667,64.80457,0.69044
ftv55.atsp,1642,1973,1775.9,80.91244,0.67175
ftv64.atsp,1923,2330,2078.36667,100.29007,0.7916
ftv70.atsp,2106,2457,2278.53333,86.93742,0.78917
kro124p.atsp,42011,48235,45495.4,1515.37174,0.79413
p43.atsp,5620,5626,5621.53333,1.30979,1.13288
rbg323.atsp,1561,1677,1616.33333,30.24162,2.73454
rbg358.atsp,1455,1578,1526.86667,30.45514,2.96043
rbg403.atsp,2671,2768,2722.43333,25.46459,3.57192
rbg443.atsp,2966,3108,3048.73333,31.47691,3.86619
ry48p.atsp,14544,15394,14902.33333,195.77408,0.65961
